Model,Hardware,Latency (s),Energy (J),Area (mm^2),Latency Breakdown,Energy Breakdown,Area Breakdown
GPT-3 (175B),gpu_a100,1347568.8358062299,67378797.99804685,15.600000000000001,"{'QKV_proj': 0.4283544510638298, 'Attention': 0.2855696340425532, 'Softmax': 1.1619858156028369e-05, 'MHA_proj': 0.1427848170212766, 'FFN_1': 7018.159326229787, 'FFN_2': 7018.159326229787, 'Total_Latency': 1347568.8358062299}","{'MAC': 356.26351067136, 'DAC': 0.0, 'ADC': 0.0, 'Static': 67378441.73453617, 'Total_Energy': 67378797.99804685}","{'MAC_array': 15.600000000000001, 'PCA': 0.0, 'ADC': 0.0, 'Total_Area': 15.600000000000001}"
GPT-3 (175B),holylight,118754.503655424,4944.937528177459,16.864,"{'QKV_proj': 0.037748736, 'Attention': 0.025165824, 'Softmax': 1.024e-06, 'MHA_proj': 0.012582912, 'FFN_1': 618.475290624, 'FFN_2': 618.475290624, 'Total_Latency': 118754.503655424}","{'MAC': 4.7501801422848, 'DAC': 190.00720569139202, 'ADC': 5.89824e-08, 'Static': 4750.1801422848, 'Total_Energy': 4944.937528177459}","{'MAC_array': 16.384, 'PCA': 0.384, 'ADC': 0.096, 'Total_Area': 16.864}"
GPT-3 (175B),lightbulb_photonic,95003.6029243392,4942.562438096486,30.5408,"{'QKV_proj': 0.0301989888, 'Attention': 0.0201326592, 'Softmax': 8.192e-07, 'MHA_proj': 0.0100663296, 'FFN_1': 494.7802324992, 'FFN_2': 494.7802324992, 'Total_Latency': 95003.6029243392}","{'MAC': 2.3750900711424, 'DAC': 190.00720569139202, 'ADC': 4.9152e-08, 'Static': 4750.1801422848, 'Total_Energy': 4942.562438096486}","{'MAC_array': 29.4912, 'PCA': 0.896, 'ADC': 0.1536, 'Total_Area': 30.5408}"
GPT-3 (175B),pidcop_small_10G,95003.6029243392,5272.699958132736,21.248,"{'QKV_proj': 0.0301989888, 'Attention': 0.0201326592, 'Softmax': 8.192e-07, 'MHA_proj': 0.0100663296, 'FFN_1': 494.7802324992, 'FFN_2': 494.7802324992, 'Total_Latency': 95003.6029243392}","{'MAC': 47.501801422848004, 'DAC': 475.01801422848, 'ADC': 1.96608e-07, 'Static': 4750.1801422848, 'Total_Energy': 5272.699958132736}","{'MAC_array': 20.48, 'PCA': 0.64, 'ADC': 0.128, 'Total_Area': 21.248}"
GPT-3 (175B),pidcop_small_25G,38001.441169735685,2422.5918727618564,21.248,"{'QKV_proj': 0.01207959552, 'Attention': 0.00805306368, 'Softmax': 3.2768e-07, 'MHA_proj': 0.00402653184, 'FFN_1': 197.91209299968, 'FFN_2': 197.91209299968, 'Total_Latency': 38001.441169735685}","{'MAC': 47.501801422848004, 'DAC': 475.01801422848, 'ADC': 1.96608e-07, 'Static': 1900.0720569139203, 'Total_Energy': 2422.5918727618564}","{'MAC_array': 20.48, 'PCA': 0.64, 'ADC': 0.128, 'Total_Area': 21.248}"
GPT-3 (175B),pidcop_large_10G,95003.6029243392,5272.699958132736,108.332,"{'QKV_proj': 0.0301989888, 'Attention': 0.0201326592, 'Softmax': 8.192e-07, 'MHA_proj': 0.0100663296, 'FFN_1': 494.7802324992, 'FFN_2': 494.7802324992, 'Total_Latency': 95003.6029243392}","{'MAC': 47.501801422848004, 'DAC': 475.01801422848, 'ADC': 1.96608e-07, 'Static': 4750.1801422848, 'Total_Energy': 5272.699958132736}","{'MAC_array': 106.58, 'PCA': 1.46, 'ADC': 0.292, 'Total_Area': 108.332}"
GPT-3 (175B),pidcop_large_25G,38001.441169735685,2422.5918727618564,108.332,"{'QKV_proj': 0.01207959552, 'Attention': 0.00805306368, 'Softmax': 3.2768e-07, 'MHA_proj': 0.00402653184, 'FFN_1': 197.91209299968, 'FFN_2': 197.91209299968, 'Total_Latency': 38001.441169735685}","{'MAC': 47.501801422848004, 'DAC': 475.01801422848, 'ADC': 1.96608e-07, 'Static': 1900.0720569139203, 'Total_Energy': 2422.5918727618564}","{'MAC_array': 106.58, 'PCA': 1.46, 'ADC': 0.292, 'Total_Area': 108.332}"
GPT-3 (175B),pidcop_asymmetric_10G,95003.6029243392,5272.699958132736,47.488,"{'QKV_proj': 0.0301989888, 'Attention': 0.0201326592, 'Softmax': 8.192e-07, 'MHA_proj': 0.0100663296, 'FFN_1': 494.7802324992, 'FFN_2': 494.7802324992, 'Total_Latency': 95003.6029243392}","{'MAC': 47.501801422848004, 'DAC': 475.01801422848, 'ADC': 1.96608e-07, 'Static': 4750.1801422848, 'Total_Energy': 5272.699958132736}","{'MAC_array': 46.72, 'PCA': 0.64, 'ADC': 0.128, 'Total_Area': 47.488}"
GPT-3 (175B),pidcop_asymmetric_25G,38001.441169735685,2422.5918727618564,47.488,"{'QKV_proj': 0.01207959552, 'Attention': 0.00805306368, 'Softmax': 3.2768e-07, 'MHA_proj': 0.00402653184, 'FFN_1': 197.91209299968, 'FFN_2': 197.91209299968, 'Total_Latency': 38001.441169735685}","{'MAC': 47.501801422848004, 'DAC': 475.01801422848, 'ADC': 1.96608e-07, 'Static': 1900.0720569139203, 'Total_Energy': 2422.5918727618564}","{'MAC_array': 46.72, 'PCA': 0.64, 'ADC': 0.128, 'Total_Area': 47.488}"
GPT-3 (175B),pixel_photonic,95003.6029243392,3099.492542939136,8.8,"{'QKV_proj': 0.0301989888, 'Attention': 0.0201326592, 'Softmax': 8.192e-07, 'MHA_proj': 0.0100663296, 'FFN_1': 494.7802324992, 'FFN_2': 494.7802324992, 'Total_Latency': 95003.6029243392}","{'MAC': 11.875450355712001, 'DAC': 237.50900711424, 'ADC': 9.8304e-08, 'Static': 2850.10808537088, 'Total_Energy': 3099.492542939136}","{'MAC_array': 8.192, 'PCA': 0.512, 'ADC': 0.096, 'Total_Area': 8.8}"
